Level1,Level2,Level3,Level4,Federal,State,Local
Central,C-2,05422,NULL,91211.0530,79848.9624,29032.5341
CLOSE,CLOSE,05344,NULL,NULL,NULL,NULL
Central-South,CS-4,0589,NULL,66852.5819,71970.4496,22689.6290
Central-South,CS-1,05388,NULL,25009.6288,47639.0481,8583.7528
Central-North,CN-3,05473,NULL,52862.7861,67052.9535,19013.1717
Central-North,CN-6,05118,NULL,105763.6088,131977.9619,32547.7332
North-East,NE-4,0535,NULL,37115.5768,37083.5047,14442.6193
Central-South,CS-3,0577,NULL,44533.7624,54670.7993,19761.9910
North,N-1,05154,NULL,203630.9356,199346.3164,52016.8107
Central,C-7,05508,NULL,52217.1764,74667.0868,11471.3241
Central-South,CS-2,05320,NULL,56459.0293,68556.6765,22434.5913
Central,C-7,05128,NULL,48003.2776,50244.8008,19178.9340
Central-North,CN-7,05542,NULL,25604.6479,31168.0192,8243.9337
South-East,SE-2,05573,NULL,29738.7619,28440.4479,10222.8858
Central,C-4,05437,NULL,87578.6433,89550.1910,28656.3820
South-East,SE-5,05414,NULL,141833.5096,148987.5253,46748.2108
E-COMMERCE,YAHOO,05953,NULL,0.0000,0.0000,0.0000
Central,C-2,05274,NULL,67484.5272,60042.9522,27679.4770
North,N-4,05602,NULL,34427.0467,31631.3811,7590.1335
Central-North,CN-7,05513,NULL,42659.8674,43707.0280,13276.5051
Central-South,CS-3,05663,NULL,0.0000,0.0000,0.0000
Central-South,CS-1,05341,NULL,57878.6102,53924.8959,15584.3336
Central-North,CN-2,0562,NULL,194831.3009,237126.3333,58304.6677
South-East,SE-6,05351,NULL,39223.0576,48068.0772,11370.7426
South-East,SE-6,05270,NULL,38406.7525,34581.5906,11811.3428
North,N-4,05468,NULL,35587.5527,29112.7335,7320.8575
E-COMMERCE,7-11,05988,NULL,90724.7805,52125.7140,24357.9233
Central,C-8,05355,NULL,75759.0002,74122.9245,30610.4477
CLOSE,CLOSE,05387,NULL,NULL,NULL,NULL
Central-North,CN-7,05104,NULL,71787.6398,119565.9521,21671.3721
Central-North,CN-8,05480,NULL,80440.2398,75981.9430,26817.3056
Central-South,CS-3,0570,NULL,53551.3359,63748.1228,15264.8285
Central-North,CN-2,0591,NULL,62831.1813,60105.5914,20052.8771
Central-South,CS-4,05350,NULL,43273.9334,35007.0954,20725.6857
